runner,opening,trial,workers,nv_power,size,t_rows_per_worker,paper_b_target,shard_len,pcs_queries_requested,pcs_queries_effective,partition_ms,worker_commit_ms,master_commit_ms,commit_ms,open_ms,verify_ms,commitment_bytes,opening_proof_bytes,communication_bytes,network_commit_bytes,network_open_bytes,network_bytes,host_logical_cores,cores_per_worker,core_affinity,verified,failure_reason
network,compact,1,16,8,256,16.000000,64,16,1,1,0.000000,2.923600,0.000000,2.923600,30.051900,22.914000,1072,30267,30779,4316,40435,44751,20,1,windows-powershell-processor-affinity,true,
network,compact,1,1,9,512,512.000000,9,512,1,1,0.000000,15.236600,0.000000,15.236600,71.230000,17.296200,112,22685,22717,3673,4518,8191,20,1,windows-powershell-processor-affinity,true,
network,compact,1,2,9,512,256.000000,16,256,1,1,0.000000,14.966400,0.000000,14.966400,54.084500,16.610500,176,21855,21919,3834,8242,12076,20,1,windows-powershell-processor-affinity,true,
network,compact,1,4,9,512,128.000000,28,128,1,1,0.000000,7.689200,0.000000,7.689200,39.571800,17.250900,304,22793,22921,4152,14881,19033,20,1,windows-powershell-processor-affinity,true,
network,compact,1,8,9,512,64.000000,48,64,1,1,0.000000,4.390500,0.000000,4.390500,33.708100,20.199700,560,26673,26929,4789,26554,31343,20,1,windows-powershell-processor-affinity,true,
network,compact,1,16,9,512,32.000000,80,32,1,1,0.000000,4.080800,0.000000,4.080800,35.404800,26.460700,1072,35447,35959,6091,46789,52880,20,1,windows-powershell-processor-affinity,true,
network,compact,1,1,10,1024,1024.000000,10,1024,1,1,0.000000,27.811100,0.000000,27.811100,106.725900,20.145400,112,25885,25917,7215,4916,12131,20,1,windows-powershell-processor-affinity,true,
network,compact,1,2,10,1024,512.000000,18,512,1,1,0.000000,28.305200,0.000000,28.305200,88.705600,18.917100,176,25055,25119,7377,9041,16418,20,1,windows-powershell-processor-affinity,true,
network,compact,1,4,10,1024,256.000000,32,256,1,1,0.000000,14.311200,0.000000,14.311200,58.259000,19.756500,304,26191,26319,7701,16482,24183,20,1,windows-powershell-processor-affinity,true,
network,compact,1,8,10,1024,128.000000,56,128,1,1,0.000000,7.853100,0.000000,7.853100,45.016400,24.363500,560,30665,30921,8341,29782,38123,20,1,windows-powershell-processor-affinity,true,
network,compact,1,16,10,1024,64.000000,96,64,1,1,0.000000,7.482900,0.000000,7.482900,45.196500,30.152100,1072,40825,41337,9654,53228,62882,20,1,windows-powershell-processor-affinity,true,
network,compact,1,1,11,2048,2048.000000,11,2048,1,1,0.000000,55.147000,0.000000,55.147000,177.959800,22.241500,112,29283,29315,14276,5309,19585,20,1,windows-powershell-processor-affinity,true,
network,compact,1,2,11,2048,1024.000000,20,1024,1,1,0.000000,60.497400,0.000000,60.497400,140.532900,21.732900,176,28453,28517,14441,9832,24273,20,1,windows-powershell-processor-affinity,true,
network,compact,1,4,11,2048,512.000000,36,512,1,1,0.000000,28.065700,0.000000,28.065700,86.033300,22.617000,304,29787,29915,14768,18091,32859,20,1,windows-powershell-processor-affinity,true,
network,compact,1,8,11,2048,256.000000,64,256,1,1,0.000000,15.086300,0.000000,15.086300,63.754400,25.652000,560,34855,35111,15422,32994,48416,20,1,windows-powershell-processor-affinity,true,
network,compact,1,16,11,2048,128.000000,112,128,1,1,0.000000,9.117500,0.000000,9.117500,55.772900,34.625800,1072,46401,46913,16742,59619,76361,20,1,windows-powershell-processor-affinity,true,
network,compact,1,1,12,4096,4096.000000,12,4096,1,1,0.000000,108.970300,0.000000,108.970300,299.980700,25.132000,112,32879,32911,28395,5710,34105,20,1,windows-powershell-processor-affinity,true,
network,compact,1,2,12,4096,2048.000000,22,2048,1,1,0.000000,109.798200,0.000000,109.798200,226.990000,24.535700,176,32049,32113,28559,10630,39189,20,1,windows-powershell-processor-affinity,true,
network,compact,1,4,12,4096,1024.000000,40,1024,1,1,0.000000,56.461700,0.000000,56.461700,144.576500,25.234100,304,33581,33709,28889,19679,48568,20,1,windows-powershell-processor-affinity,true,
network,compact,1,8,12,4096,512.000000,72,512,1,1,0.000000,28.852600,0.000000,28.852600,97.109200,29.792900,560,39243,39499,29546,36186,65732,20,1,windows-powershell-processor-affinity,true,
network,compact,1,16,12,4096,256.000000,128,256,1,1,0.000000,15.701300,0.000000,15.701300,75.918700,39.074800,1072,52175,52687,30888,65979,96867,20,1,windows-powershell-processor-affinity,true,
network,compact,1,1,13,8192,8192.000000,13,8192,1,1,0.000000,222.362100,0.000000,222.362100,543.805900,28.068300,112,36673,36705,56579,6110,62689,20,1,windows-powershell-processor-affinity,true,
network,compact,1,2,13,8192,4096.000000,24,4096,1,1,0.000000,217.388200,0.000000,217.388200,416.307500,27.277100,176,35843,35907,56745,11413,68158,20,1,windows-powershell-processor-affinity,true,
network,compact,1,4,13,8192,2048.000000,44,2048,1,1,0.000000,111.276100,0.000000,111.276100,243.391500,28.132600,304,37573,37701,57073,21269,78342,20,1,windows-powershell-processor-affinity,true,
network,compact,1,8,13,8192,1024.000000,80,1024,1,1,0.000000,61.092300,0.000000,61.092300,154.621100,32.868500,560,43829,44085,57733,39325,97058,20,1,windows-powershell-processor-affinity,true,
network,compact,1,16,13,8192,512.000000,144,512,1,1,0.000000,31.172400,0.000000,31.172400,107.682600,43.696200,1072,58147,58659,59078,72407,131485,20,1,windows-powershell-processor-affinity,true,
network,compact,1,1,14,16384,16384.000000,14,16384,1,1,0.000000,455.578300,0.000000,455.578300,1027.311200,31.164100,112,40665,40697,113031,6509,119540,20,1,windows-powershell-processor-affinity,true,
network,compact,1,2,14,16384,8192.000000,26,8192,1,1,0.000000,442.009100,0.000000,442.009100,847.794800,42.101300,176,39835,39899,113197,12229,125426,20,1,windows-powershell-processor-affinity,true,
network,compact,1,4,14,16384,4096.000000,48,4096,1,1,0.000000,254.703100,0.000000,254.703100,553.723200,38.963800,304,41763,41891,113532,22881,136413,20,1,windows-powershell-processor-affinity,true,
network,compact,1,8,14,16384,2048.000000,88,2048,1,1,0.000000,184.035800,0.000000,184.035800,294.852900,39.280400,560,48613,48869,114194,42576,156770,20,1,windows-powershell-processor-affinity,true,
network,compact,1,16,14,16384,1024.000000,160,1024,1,1,0.000000,84.545700,0.000000,84.545700,179.900000,48.164300,1072,64317,64829,115551,78787,194338,20,1,windows-powershell-processor-affinity,true,
network,compact,1,1,15,32768,32768.000000,15,32768,1,1,0.000000,901.634300,0.000000,901.634300,2135.150000,34.442400,112,44855,44887,225855,6910,232765,20,1,windows-powershell-processor-affinity,true,
network,compact,1,2,15,32768,16384.000000,28,16384,1,1,0.000000,911.792000,0.000000,911.792000,1507.109500,33.028900,176,44025,44089,226023,13027,239050,20,1,windows-powershell-processor-affinity,true,
network,compact,1,4,15,32768,8192.000000,52,8192,1,1,0.000000,444.221500,0.000000,444.221500,798.682500,34.234200,304,46151,46279,226358,24472,250830,20,1,windows-powershell-processor-affinity,true,
network,compact,1,8,15,32768,4096.000000,96,4096,1,1,0.000000,228.450700,0.000000,228.450700,462.377900,40.755400,560,53595,53851,227031,45772,272803,20,1,windows-powershell-processor-affinity,true,
network,compact,1,16,15,32768,2048.000000,176,2048,1,1,0.000000,119.702600,0.000000,119.702600,270.561600,59.196600,1072,70685,71197,228389,85153,313542,20,1,windows-powershell-processor-affinity,true,
network,compact,1,1,16,65536,65536.000000,16,65536,1,1,0.000000,1822.668600,0.000000,1822.668600,4209.172700,37.803100,112,49243,49275,451578,7309,458887,20,1,windows-powershell-processor-affinity,true,
network,compact,1,2,16,65536,32768.000000,30,32768,1,1,0.000000,1789.405000,0.000000,1789.405000,3077.971400,45.482500,176,48413,48477,451748,13818,465566,20,1,windows-powershell-processor-affinity,true,
network,compact,1,4,16,65536,16384.000000,56,16384,1,1,0.000000,945.312600,0.000000,945.312600,1646.828400,45.781900,304,50737,50865,452084,26055,478139,20,1,windows-powershell-processor-affinity,true,
network,compact,1,8,16,65536,8192.000000,104,8192,1,1,0.000000,494.584900,0.000000,494.584900,849.327900,44.259000,560,58775,59031,452757,48951,501708,20,1,windows-powershell-processor-affinity,true,
network,compact,1,16,16,65536,4096.000000,192,4096,1,1,0.000000,252.952700,0.000000,252.952700,474.133700,58.467300,1072,77251,77763,454134,91578,545712,20,1,windows-powershell-processor-affinity,true,
